review,score,aplikasi
shopee sangat bagus aku selalu pakek shopee,5,Shopee
sangat bagus layanannya,5,Shopee
⚠️👍🌟🌟🌟🌟🌟❗️🙏.,5,Shopee
buruk,3,Shopee
mantulll,5,Shopee
ok keren banget mantab bagus,5,Shopee
kebanyakan iklan,1,Shopee
"sangat senang belanja di Shopee. selalu terpercaya. mau cari apa saja yang kita inginkan, ada di sophee",5,Shopee
"giliran sengaja dibuka apknya banyak bug fc lah, tampilan produk gak keluar lah, masih banyak lagi dah bugnya , giliran lagi scroll chrome/browser dengan gampangnya teleport ke ini apk, bintang satu dah pokoknya👎",1,Shopee
"produknya murah dan terjamin... kurir sekitar ramah dan amanah,, mantap.👌👌",5,Shopee
sekarang shopee lama banget bisa sampe 4 hari an saya nunggu mana harus di chat dulu baru di kirim,2,Shopee
"Oren ini kenapa ya lelet banget, selain pedagang nya dari pas pesan 2hari baru di kasih ke jasa pengiriman, kulirpun minta ampun leletnya,udah 2 hari minta rekomendasi di kirim cepat nihil, padahal kemarin di cek lokasi lagi dalam pengiriman,hari ini tulisan mencoba di kirim kan,,, beda sama sebelah 2 hari nyampe paling lama 4hari, Oren ada pocer keterlambatan percuma ga bisa di pake. pas co tetep aja ga ada potongan",1,Shopee
"shoppe bagus aja,per hari ini spx kalau dijawa bagus aja",5,Shopee
senang belanja via shopee,5,Shopee
mantap,5,Shopee
Terimakasih 👍,5,Shopee
seneng banget pake aplikasi belanja ini🫶🏻,5,Shopee
baik,5,Shopee
"SHOPEE LO BISA DIEM NGA, gue lagi main tiktok lagi liat yt tiba tiba ada iklan lo, ga mencet sama sekali tiba tiba masuk ke apk shoppe, keganggu anjiiirr, apalagi kalo lagi main game, tiba tiba masuk ke apk, LO JANGAN MAKSA JIR kalo gue mau beli barang ya pasti dengan sendirinya ak bakal ke apk shoppe, MAKSA APK SHOPPE GATHEL",1,Shopee
bagus dan sangat membantu sekali 🤗,5,Shopee
pelayanan kurir tolol,1,Shopee
kasih bintang 5,4,Shopee
membantu banget belanja di shopee,5,Shopee
"barang selalu sesuai dengan pesanan,,",5,Shopee
"masih banyak toko spam, jual iklan yg di kirim barang lain",3,Shopee
PENGIRIMAN LEMOTTT BGTT !!!,1,Shopee
pengirimannya cepat & amanah,5,Shopee
shopee sekarang jadi lama pengirimannya,1,Shopee
ini kenapa shopee hari ini masuk tulisannya muat ulang/ laporkan gak bisa diklik udah lapor blom ada respon,4,Shopee
semua produk yang aku cari sesuwai dan tepat waktu,5,Shopee
Suka sama apk ini soal lambat cepat pengiriman tergantung lokasinya dimana.,5,Shopee
kurir nya sering membatalkan sendiri tampa ada comfirmasih sudah berapa kali khusus wilayah Tallo makassar (untuk kurir),1,Shopee
pengantarannya ga jelas,1,Shopee
saya sudah tertipu oleh pedagang hp dan begitu mudah nya shoope untuk memasukan orang orang yang tak bertanggung jawab dan serta memfasilitasi para penipu gimana tanggung jawab nya datang lagi penipu mengatas namakan shopee emang ini situs para penipu apa gimana,2,Shopee
"memudahkan aku yg malas kemana2 bisa belanja dishopee ,",5,Shopee
sangat baik,5,Shopee
good gk prnh mengecewakan....pokoknya puwas,5,Shopee
good,5,Shopee
sangat puas belanja di shopee ..murah,5,Shopee
shopee makin keren dan mudah cara belanjanya thx u,5,Shopee
"dengan adanya shopee belanja jadi lebih mudah,semoga selalu amanah ☺️",5,Shopee
pokoknya Shoope 👍,5,Shopee
pengiriman shopee lama,1,Shopee
"Sejak punya shopee, belanja jadi mudah. apalagi buat aku yang nggak bisa nawar harga barang.",5,Shopee
POo,3,Shopee
murah dan sering free ongkir,5,Shopee
sangat baik dan memuaskan,5,Shopee
good job🙏🙏,5,Shopee
sangat puas..semoga tetap dipertahankan kemyamanan dlm belanja,5,Shopee
fitur live nyedot kuota dan gak bisa di matiin. apk lelet dan banyak bug,1,Shopee
pengiriman sangat lama....,1,Shopee
layanan yang buruk paket gak jalan jalan,1,Shopee
Bagus,5,Shopee
Shopy emang terpercaya,5,Shopee
"Saya member VIP Judul: Fitur Profil Ukuran Tidak Bisa Dihapus dan CS Tidak Solutif Sangat kecewa dengan sistem Shopee. Saya pernah mengisi ""Profil Ukuran"", tapi sekarang tidak bisa dihapus atau dikosongkan kembali. Tidak ada tombol hapus di menu mana pun. Saat saya tanya ke Customer Service, mereka malah memberikan saran fatal untuk MENGHAPUS AKUN Shopee saya secara permanen hanya untuk menghilangkan data ukuran badan. Sistem juga memaksa input data (tinggi maks 230cm, berat maks 200kg).",1,Shopee
mantab,5,Shopee
senang bisa belanja di shopee,5,Shopee
"tolong update lagi min adakan nomor kurir nya biyar enak, masa paket saya 1 minggu blom di kirim2 ngesetak di menuju alamt terus, kaya tiktok Shop noh enak ada nomor kurirnya jadi gampang komunikasiny",5,Shopee
"Puas dgn layanan shopee krn selalu ada gratis ongkir, pelayanan memuaskan..sukses trus tingkatkan dengan kejutan lainnya..",5,Shopee
ini bner2 mantap sih shopee mudah2 barang nyah mantul,5,Shopee
pelayanan sangat memuaskan,5,Shopee
(update) mesti di update dulu untuk jadi lancar lagi :),5,Shopee
mantap,5,Shopee
"Percuma jadi prioritas, chat CS SHOPEE AJA SUSAH SKRG . BOT MULU YG JAWAB 💩",1,Shopee
suka suka kalo lancar dan luncur gini sekalinya agak susah eksepsinya ya susah shoope bisa gak semua produk di kasih cod semua soalnya ada yang enggak bisa cod,5,Shopee
"pengalaman saya kalo kalian beli barang dan tidak sesuai (penipuan) kalian bisa langsung ke customer service. respon cepat, asal kalian ada bukti kuat kalian bakalan di bela dan di backup sampai masalah selesai",5,Shopee
Oke,5,Shopee
"ribet lu shoppe, tiap buka aplikasi muncul iklan lu mulu. kreatif dikit ke kalo bikin iklan di apk mana tempelan doang ganggu banget!!!! lagian siapa yang gatau shoppe di jaman sekarang, jangan kuno deh lu",1,Shopee
di update mala g bisa di buka putih doang,2,Shopee
sangat bagus cepat sampai,5,Shopee
shoppe sangat mudah dan aman klo ada barang yg rusak dan TDK sesuai dng ajukan pengembalian langsung kembali duitnya JD kita merasa aman... terima kasih shopee,5,Shopee
"Nice try expedisi spx gagal 2x dalam 1 bulan, ganti rugi woi tanggung jawab.",1,Shopee
Sangat membantu dan selalu sukses trus,5,Shopee
"aplikasi yang rumit ga jelas akun jualan saya terus di batalkan sistem dengan alasan ga jelas, dengan tuduhan"" tanpa bukti yang jelas",1,Shopee
jooss,5,Shopee
sekarang mh bagussss,5,Shopee
hadirmu memudahnya sebagian besar kebutuhan kami... terimakasih shoope,5,Shopee
belanja teruss,5,Shopee
Masukan ni buat shopee mudah2n di denger ya buat pengiriman dari jakarta ke jakarta bisa gak sih gausah muter2 dulu pesen dari cengkareng di kirim ke cakung di kirim lagi ke bekasi fungsi nya buat apa ga ada efisien nya sama sekali aneh gitu loh paket di bawa muter2 kasian yg pesen kalo tu barang buru2 mau di pake kan kecewa jadi nya tolong lebih di persingkst buat pengiriman nya.. jakarta ke jakarta 3 hari belom sampe sedangkan jakarta ke garut 2 hari udh sampe tolol sumpah..,1,Shopee
"shopee sekarang sangat lemot gak gercep seandainya cari barang begitu lama pada akhir nya aplikasi nya langsung berubah jadi lemot banget gak cocok seharusnya bukannya bagus yah jika kita lama"" di aplikasi shopee itu tanda nya shopee lebih bagus dan nyaman tapi malah di bikin kecewa karena main lama aja pasti selalu lemot banget dan ram nya juga terlalu gede walaupun kebanyakan fitur tapi bisa gak sih walaupun kebanyakan fitur tapi tetap ram nya di perkecil gitu kan supaya lebih nyaman",1,Shopee
gacor,5,Shopee
menarik,4,Shopee
"pengiriman selalu tidak tepat waktu, pengiriman lama, ongkir mahal",1,Shopee
mantuul,5,Shopee
shope jozz mantapp..mmpermudah mencari sesuatu yg kita ingin kan..sukses selalu shopee infonesia,5,Shopee
memudahkan peembelian lewat shope barang yg dicari terutama saya tinggal di pedesaan,5,Shopee
suka sama apk nya jdi mudah belanja apa aj sukses selalu buat apk nya🤗❤️❤️,5,Shopee
sav,1,Shopee
sangat membantu buat kaum mageran yg hobby belanja produknya selalu berkualitas,5,Shopee
bagus,5,Shopee
saya suka,5,Shopee
"tolong waktu pertama kali buka jangan langsung ke live, ke halaman utama belanja saja seperti dahulu.",3,Shopee
"bisa ga sih kalo lagi di aplikasi lain jangan iklan mulu, kalo iklan nya cuma sebatas lewat mah gapapa, ini kadang masuk ke shopee padahal ga klik apa-apa, ke ganggu tau ga",3,Shopee
bagus,5,Shopee
"Gw kasih bintang 1 karna, nge bung banget sih ni aplikasi, gw Sampek udah pake dua hp karna gw kira hp gw yang bermasalah eh ternyata di hp satu nya sama aja ni aplikasi padahal lagi butuh banget buat belanja keperluan eh malah ni apk nya rusak",1,Shopee
kakean polah,1,Shopee
selalu memuaskan,5,Shopee
cukup bagus TPI verifikasi nya setiap hari.,5,Shopee
"Shopee sekrang parah, return barang yang rusak kita Terima, ongkir return kita yang bayar, mahalan ongkir return dari pada barangnya, terus ko bayar paylater via bank mandiri kenak biaya admin seribu, makin parah Shopee sekrang, jadi gak semangat belanja lagi, jadi males kayaknya, padahal gk pernah telat dan selalu bayar duluan untuk spaylaternya,",1,Shopee
ok bannget 👍 . 👍👍👍 👍 👍👍,5,Shopee
bagus sekali ini bisa di gunakan untuk membeli apapun,5,Shopee
Alangkah lebih bagus jika waktu pengiriman sama.cepatnya untuk.semua.produk,4,Shopee
selama belanja d Shopee baik semuanya sih dr toko .pelayanan dan pengiriman ok,5,Shopee
bisa diam gak sihhh aku lagi baca wattpad gk ada tekan apa apa tiba tiba ke buka shoppe sumpahh kesel banget sama lu Shopee....,2,Shopee
akunnn aku ilangggggggggggg,3,Shopee
ok,5,Shopee
mantapp,5,Shopee
"bagus semua pesanan ga ada yng gagal , makasih shoppy mepermudah pembelian para ibu rumah tangga",5,Shopee
"tolong diperbaiki kurirnya,memberi keterangan palsu,antar barang tanpa konfirmasi terlebih dahulu,itu itu aja masalahmu gak bisa atasi",1,Shopee
dari jaman dulu pakai Shopee ga pernah mengecewakan.. bisa cuan juga lagii dari sanaa 😁😁😁,5,Shopee
Alhamdulillah selama ini aman plus recommended,5,Shopee
baikk,5,Shopee
"shopee tolong banget iklan lo jangan berlebihan cape bngt liat iklan shopee di banyak aplikasi, mana kadang gk ditekan tapi langsung ke apl. tolong ya itu mengganggu sekali, marketing kalian jelek bngt🙏",1,Shopee
baik sangat membantu,2,Shopee
menghemat waktu belanja ke luar hanya saja sering tida amanah tokonya,5,Shopee
Sangat bagus dan menarik,5,Shopee
Shopee sangat membantu,5,Shopee
ok,5,Shopee
cuman si pengiriman aga lambat,4,Shopee
b aj,4,Shopee
"harganya murah sih, untuk aplikasinya bagus, tapi sayang, masalah pengiriman buruk, dari surabaya ke probolinggo kok bisa 4 hari, kalau di aplikasi tiktok dari surabaya ke probolinggo cuma 1/2 hari udah sampai, kalau masalah pengiriman SPX jauh dari kata cepat",2,Shopee
ok bngt..bnyk promo nya,5,Shopee
Terbaiklah...,5,Shopee
bagus semua nya,5,Shopee
shopee sangat lah berguna,5,Shopee
aplikasi memudahkan dan banyak bonus,5,Shopee
Boleh buat jangkauan luas,5,Shopee
belanja di sopee sangat memuaskan dan mudah,5,Shopee
